Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score
AUDUSD,15,0.0001,69,13,969,44,159,0.22,5.307692308,1131.493846
AUDUSD,15,0.0001,76,35,1162,42,58,0.42,2.171428571,1059.744
AUDUSD,15,0.0001,75,35,1120,42,58,0.42,2.142857143,1008
AUDUSD,15,0.0001,68,13,899,44,161,0.21,5.230769231,987.5169231
AUDUSD,15,0.0001,69,12,822,42,173,0.2,5.75,945.3
AUDUSD,15,0.0001,71,33,1050,45,65,0.41,2.151515152,926.2272727
AUDUSD,15,0.0001,74,13,788,37,150,0.2,5.692307692,897.1076923
AUDUSD,15,0.0001,74,35,1008,42,60,0.41,2.114285714,873.792
AUDUSD,15,0.0001,71,29,962,45,77,0.37,2.448275862,871.4393103
AUDUSD,15,0.0001,69,14,798,42,150,0.22,4.928571429,865.26
AUDUSD,15,0.0001,69,11,764,42,194,0.18,6.272727273,862.6254545
AUDUSD,15,0.0001,71,13,786,40,158,0.2,5.461538462,858.5538462
AUDUSD,15,0.0001,73,13,751,37,150,0.2,5.615384615,843.4307692
AUDUSD,15,0.0001,67,13,779,45,172,0.21,5.153846154,843.1176923
AUDUSD,15,0.0001,65,33,1004,52,72,0.42,1.96969697,830.5818182
AUDUSD,15,0.0001,76,36,948,39,56,0.41,2.111111111,820.5466667
AUDUSD,15,0.0001,68,12,756,42,175,0.19,5.666666667,813.96
AUDUSD,15,0.0001,63,22,888,56,120,0.32,2.863636364,813.7309091
AUDUSD,15,0.0001,67,11,738,45,207,0.18,6.090909091,809.1163636
AUDUSD,15,0.0001,62,29,949,56,87,0.39,2.137931034,791.2696552
AUDUSD,15,0.0001,68,11,711,42,195,0.18,6.181818182,791.1490909
AUDUSD,15,0.0001,77,35,896,38,58,0.4,2.2,788.48
AUDUSD,15,0.0001,66,33,957,51,73,0.41,2,784.74
AUDUSD,15,0.0001,68,14,728,42,152,0.22,4.857142857,777.92
AUDUSD,15,0.0001,75,36,909,39,56,0.41,2.083333333,776.4375
AUDUSD,15,0.0001,65,34,966,52,71,0.42,1.911764706,775.6411765
AUDUSD,15,0.0001,67,14,736,44,158,0.22,4.785714286,774.9028571
AUDUSD,15,0.0001,64,22,858,55,121,0.31,2.909090909,773.76
AUDUSD,15,0.0001,62,26,898,56,99,0.36,2.384615385,770.8984615
AUDUSD,15,0.0001,56,29,949,62,87,0.42,1.931034483,769.6717241
AUDUSD,15,0.0001,63,26,880,54,97,0.36,2.423076923,767.6307692
AUDUSD,15,0.0001,53,36,1035,63,64,0.5,1.472222222,761.875
AUDUSD,15,0.0001,70,13,707,40,161,0.2,5.384615385,761.3846154
AUDUSD,15,0.0001,54,29,941,62,83,0.43,1.862068966,753.4489655
AUDUSD,15,0.0001,54,36,1008,62,65,0.49,1.5,740.88
AUDUSD,15,0.0001,75,33,855,40,65,0.38,2.272727273,738.4090909
AUDUSD,15,0.0001,61,29,893,56,87,0.39,2.103448276,732.567931
AUDUSD,15,0.0001,75,34,851,39,61,0.39,2.205882353,732.1102941
AUDUSD,15,0.0001,69,15,723,42,145,0.22,4.6,731.676
AUDUSD,15,0.0001,76,13,658,35,154,0.19,5.846153846,730.8861538
AUDUSD,15,0.0001,74,12,658,35,161,0.18,6.166666667,730.38
AUDUSD,15,0.0001,55,29,916,62,86,0.42,1.896551724,729.6413793
AUDUSD,15,0.0001,65,26,832,52,98,0.35,2.5,728
AUDUSD,15,0.0001,62,27,853,56,97,0.37,2.296296296,724.7340741
AUDUSD,15,0.0001,57,29,897,60,87,0.41,1.965517241,722.8582759
AUDUSD,15,0.0001,70,29,830,45,80,0.36,2.413793103,721.2413793
AUDUSD,15,0.0001,63,14,728,50,173,0.22,4.5,720.72
AUDUSD,15,0.0001,61,26,842,56,99,0.36,2.346153846,711.1661538
AUDUSD,15,0.0001,76,33,829,40,67,0.37,2.303030303,706.4084848
AUDUSD,15,0.0001,75,29,779,39,74,0.35,2.586206897,705.1293103
AUDUSD,15,0.0001,76,29,789,39,75,0.34,2.620689655,703.0262069
AUDUSD,15,0.0001,74,36,834,39,57,0.41,2.055555556,702.8766667
AUDUSD,15,0.0001,76,34,822,39,63,0.38,2.235294118,698.2164706
AUDUSD,15,0.0001,63,13,684,48,180,0.21,4.846153846,696.1015385
AUDUSD,15,0.0001,73,29,789,41,76,0.35,2.517241379,695.1362069
AUDUSD,15,0.0001,63,29,840,52,84,0.38,2.172413793,693.4344828
AUDUSD,15,0.0001,57,46,1030,56,47,0.54,1.239130435,689.2043478
AUDUSD,15,0.0001,67,12,649,43,186,0.19,5.583333333,688.4808333
AUDUSD,15,0.0001,62,22,788,56,122,0.31,2.818181818,688.4254545
AUDUSD,15,0.0001,63,27,819,52,91,0.36,2.333333333,687.96
AUDUSD,15,0.0001,53,29,874,63,85,0.43,1.827586207,686.8434483
AUDUSD,15,0.0001,75,13,623,35,154,0.19,5.769230769,682.9038462
AUDUSD,15,0.0001,64,26,792,53,100,0.35,2.461538462,682.3384615
AUDUSD,15,0.0001,73,12,623,35,161,0.18,6.083333333,682.185
AUDUSD,15,0.0001,71,12,634,38,172,0.18,5.916666667,675.21
AUDUSD,15,0.0001,65,22,761,53,122,0.3,2.954545455,674.5227273
AUDUSD,15,0.0001,67,21,725,50,125,0.29,3.19047619,670.797619
AUDUSD,15,0.0001,71,11,608,38,190,0.17,6.454545455,667.1418182
AUDUSD,15,0.0001,61,27,797,56,97,0.37,2.259259259,666.232963
AUDUSD,15,0.0001,56,36,908,58,65,0.47,1.555555556,663.8488889
AUDUSD,15,0.0001,64,13,642,47,182,0.21,4.923076923,663.7292308
AUDUSD,15,0.0001,71,34,812,44,68,0.39,2.088235294,661.3023529
AUDUSD,15,0.0001,64,29,805,52,87,0.37,2.206896552,657.3241379
AUDUSD,15,0.0001,74,29,756,40,76,0.34,2.551724138,655.8951724
AUDUSD,15,0.0001,76,31,763,39,71,0.35,2.451612903,654.7032258
AUDUSD,15,0.0001,68,15,651,42,147,0.22,4.533333333,649.264
AUDUSD,15,0.0001,66,26,752,50,98,0.34,2.538461538,649.0338462
AUDUSD,15,0.0001,69,29,756,45,81,0.36,2.379310345,647.5531034
AUDUSD,15,0.0001,72,33,780,42,68,0.38,2.181818182,646.6909091
AUDUSD,15,0.0001,62,14,650,50,175,0.22,4.428571429,633.2857143
AUDUSD,15,0.0001,76,32,736,40,72,0.36,2.375,629.28
AUDUSD,15,0.0001,78,35,743,36,59,0.38,2.228571429,629.2148571
AUDUSD,15,0.0001,62,36,828,54,70,0.44,1.722222222,627.44
AUDUSD,15,0.0001,65,29,756,50,86,0.37,2.24137931,626.9586207
AUDUSD,15,0.0001,67,15,638,44,154,0.22,4.466666667,626.9413333
AUDUSD,15,0.0001,55,36,869,59,66,0.47,1.527777778,623.9902778
AUDUSD,15,0.0001,62,13,623,48,181,0.21,4.769230769,623.9584615
AUDUSD,15,0.0001,74,33,749,40,67,0.37,2.242424242,621.4430303
AUDUSD,15,0.0001,62,25,735,55,107,0.34,2.48,619.752
AUDUSD,15,0.0001,57,45,918,54,48,0.53,1.266666667,616.284
AUDUSD,15,0.0001,59,11,604,52,224,0.19,5.363636364,615.5309091
AUDUSD,15,0.0001,62,24,722,55,112,0.33,2.583333333,615.505
AUDUSD,15,0.0001,74,34,744,39,63,0.38,2.176470588,615.3317647
AUDUSD,15,0.0001,66,13,603,44,177,0.2,5.076923077,612.2769231
AUDUSD,15,0.0001,65,13,611,46,183,0.2,5,611
AUDUSD,15,0.0001,66,29,740,49,86,0.36,2.275862069,606.2896552
AUDUSD,15,0.0001,78,13,559,33,155,0.18,6,603.72
AUDUSD,15,0.0001,64,27,726,51,94,0.35,2.37037037,602.3111111
AUDUSD,15,0.0001,52,29,799,65,89,0.42,1.793103448,601.7296552
AUDUSD,15,0.0001,72,13,571,37,161,0.19,5.538461538,600.8676923
AUDUSD,15,0.0001,77,33,715,38,67,0.36,2.333333333,600.6
AUDUSD,15,0.0001,74,11,555,35,185,0.16,6.727272727,597.3818182
AUDUSD,15,0.0001,66,11,583,44,211,0.17,6,594.66
AUDUSD,15,0.0001,57,36,816,56,66,0.46,1.583333333,594.32
AUDUSD,15,0.0001,77,34,707,37,63,0.37,2.264705882,592.4244118
AUDUSD,15,0.0001,71,14,584,38,151,0.2,5.071428571,592.3428571
AUDUSD,15,0.0001,61,13,601,48,179,0.21,4.692307692,592.2161538
AUDUSD,15,0.0001,80,35,700,35,60,0.37,2.285714286,592
AUDUSD,15,0.0001,66,15,609,44,153,0.22,4.4,589.512
AUDUSD,15,0.0001,71,35,745,45,70,0.39,2.028571429,589.4014286
AUDUSD,15,0.0001,70,12,560,38,175,0.18,5.833333333,588
AUDUSD,15,0.0001,65,11,582,45,213,0.17,5.909090909,584.6454545
AUDUSD,15,0.0001,67,20,643,49,132,0.27,3.35,581.5935
AUDUSD,15,0.0001,51,36,831,65,69,0.49,1.416666667,576.8525
AUDUSD,15,0.0001,63,25,689,53,106,0.33,2.52,572.9724
AUDUSD,15,0.0001,62,28,716,54,94,0.36,2.214285714,570.7542857
AUDUSD,15,0.0001,75,26,637,39,88,0.31,2.884615385,569.625
AUDUSD,15,0.0001,59,14,587,51,173,0.23,4.214285714,568.9707143
AUDUSD,15,0.0001,76,12,528,33,165,0.17,6.333333333,568.48
AUDUSD,15,0.0001,65,27,674,49,93,0.35,2.407407407,567.9074074
AUDUSD,15,0.0001,63,24,675,53,111,0.32,2.625,567
AUDUSD,15,0.0001,63,21,651,52,125,0.29,3,566.37
AUDUSD,15,0.0001,58,29,725,57,89,0.39,2,565.5
AUDUSD,15,0.0001,66,14,570,43,162,0.21,4.714285714,564.3
AUDUSD,15,0.0001,70,33,700,43,70,0.38,2.121212121,564.2424242
AUDUSD,15,0.0001,80,31,643,34,67,0.34,2.580645161,564.1806452
AUDUSD,15,0.0001,61,25,680,55,107,0.34,2.44,564.128
AUDUSD,15,0.0001,77,13,526,33,155,0.18,5.923076923,560.7969231
AUDUSD,15,0.0001,67,33,708,48,76,0.39,2.03030303,560.6072727
AUDUSD,15,0.0001,61,24,667,55,112,0.33,2.541666667,559.44625
AUDUSD,15,0.0001,61,22,649,55,123,0.31,2.772727273,557.845
AUDUSD,15,0.0001,63,11,541,47,220,0.18,5.727272727,557.7218182
AUDUSD,15,0.0001,71,30,672,42,77,0.35,2.366666667,556.64
AUDUSD,15,0.0001,66,34,716,50,76,0.4,1.941176471,555.9529412
AUDUSD,15,0.0001,79,35,665,35,60,0.37,2.257142857,555.37
AUDUSD,15,0.0001,73,11,520,35,185,0.16,6.636363636,552.1454545
AUDUSD,15,0.0001,77,36,679,35,56,0.38,2.138888889,551.8761111
AUDUSD,15,0.0001,67,18,593,47,142,0.25,3.722222222,551.8194444
AUDUSD,15,0.0001,40,13,616,83,208,0.29,3.076923077,549.6615385
AUDUSD,15,0.0001,75,31,649,38,71,0.35,2.419354839,549.5564516
AUDUSD,15,0.0001,76,26,626,38,87,0.3,2.923076923,548.9538462
AUDUSD,15,0.0001,77,29,626,36,74,0.33,2.655172414,548.5055172
AUDUSD,15,0.0001,74,14,546,35,146,0.19,5.285714286,548.34
AUDUSD,15,0.0001,69,17,587,43,140,0.23,4.058823529,547.9817647
AUDUSD,15,0.0001,64,21,618,51,126,0.29,3.047619048,546.1942857
AUDUSD,15,0.0001,65,32,689,49,78,0.39,2.03125,545.8171875
AUDUSD,15,0.0001,63,23,642,54,120,0.31,2.739130435,545.1417391
AUDUSD,15,0.0001,66,52,824,44,40,0.52,1.269230769,543.84
AUDUSD,15,0.0001,66,53,824,43,38,0.53,1.245283019,543.84
AUDUSD,15,0.0001,79,31,626,35,69,0.34,2.548387097,542.3987097
AUDUSD,15,0.0001,63,33,705,51,76,0.4,1.909090909,538.3636364
AUDUSD,15,0.0001,59,29,695,57,92,0.38,2.034482759,537.3068966
AUDUSD,15,0.0001,64,33,690,51,78,0.4,1.939393939,535.2727273
AUDUSD,15,0.0001,64,14,556,45,166,0.21,4.571428571,533.76
AUDUSD,15,0.0001,65,25,640,51,107,0.32,2.6,532.48
AUDUSD,15,0.0001,62,33,708,54,80,0.4,1.878787879,532.0727273
AUDUSD,15,0.0001,71,55,789,39,36,0.52,1.290909091,529.6341818
AUDUSD,15,0.0001,63,34,697,51,74,0.41,1.852941176,529.515
AUDUSD,15,0.0001,65,35,695,50,73,0.41,1.857142857,529.1928571
AUDUSD,15,0.0001,66,32,672,48,78,0.38,2.0625,526.68
AUDUSD,15,0.0001,73,33,643,40,69,0.37,2.212121212,526.2857576
AUDUSD,15,0.0001,75,12,495,33,165,0.17,6.25,525.9375
AUDUSD,15,0.0001,56,33,720,60,80,0.43,1.696969697,525.3818182
AUDUSD,15,0.0001,70,11,515,38,195,0.16,6.363636364,524.3636364
AUDUSD,15,0.0001,52,36,772,64,71,0.47,1.444444444,524.1022222
AUDUSD,15,0.0001,65,14,536,44,166,0.21,4.642857143,522.6
AUDUSD,15,0.0001,77,31,617,37,72,0.34,2.483870968,521.0664516
AUDUSD,15,0.0001,61,33,687,54,79,0.41,1.848484848,520.6627273
AUDUSD,15,0.0001,74,31,623,39,73,0.35,2.387096774,520.5064516
AUDUSD,15,0.0001,73,34,637,39,65,0.38,2.147058824,519.7170588
AUDUSD,15,0.0001,76,25,589,39,95,0.29,3.04,519.2624
AUDUSD,15,0.0001,61,28,662,54,94,0.36,2.178571429,519.1971429
AUDUSD,15,0.0001,61,11,519,48,219,0.18,5.545454545,518.0563636
AUDUSD,15,0.0001,70,14,518,38,153,0.2,5,518
AUDUSD,15,0.0001,57,27,663,59,100,0.37,2.111111111,517.8766667
AUDUSD,15,0.0001,66,21,588,49,126,0.28,3.142857143,517.44
AUDUSD,15,0.0001,63,31,670,50,80,0.38,2.032258065,517.4129032
AUDUSD,15,0.0001,67,16,535,45,155,0.23,4.1875,515.271875
AUDUSD,15,0.0001,59,13,538,49,181,0.21,4.538461538,512.7553846
AUDUSD,15,0.0001,68,29,624,45,84,0.35,2.344827586,512.1103448
AUDUSD,15,0.0001,60,13,527,48,181,0.21,4.615384615,510.7846154
AUDUSD,15,0.0001,54,33,708,62,80,0.44,1.636363636,509.76
AUDUSD,15,0.0001,72,29,603,41,81,0.34,2.482758621,509.0151724
AUDUSD,15,0.0001,64,23,609,53,121,0.3,2.782608696,508.3826087
AUDUSD,15,0.0001,73,14,511,35,146,0.19,5.214285714,506.255
AUDUSD,15,0.0001,67,29,626,47,87,0.35,2.310344828,506.1965517
AUDUSD,15,0.0001,60,14,536,50,176,0.22,4.285714286,505.3714286
AUDUSD,15,0.0001,64,11,504,45,216,0.17,5.818181818,498.5018182
AUDUSD,15,0.0001,76,28,572,37,80,0.32,2.714285714,496.8228571
AUDUSD,15,0.0001,55,33,693,60,79,0.43,1.666666667,496.65
AUDUSD,15,0.0001,65,15,520,44,156,0.22,4.333333333,495.7333333
AUDUSD,15,0.0001,57,14,529,53,178,0.23,4.071428571,495.3707143
AUDUSD,15,0.0001,76,30,592,37,74,0.33,2.533333333,494.912
AUDUSD,15,0.0001,64,25,603,52,109,0.32,2.56,493.9776
AUDUSD,15,0.0001,67,22,577,49,123,0.28,3.045454545,492.0236364
AUDUSD,15,0.0001,64,31,627,50,83,0.38,2.064516129,491.8916129
AUDUSD,15,0.0001,66,27,591,47,93,0.34,2.444444444,491.1866667
AUDUSD,15,0.0001,61,14,511,49,177,0.22,4.357142857,489.83
AUDUSD,15,0.0001,64,24,592,52,114,0.31,2.666666667,489.3866667
AUDUSD,15,0.0001,74,26,572,39,89,0.3,2.846153846,488.4
AUDUSD,15,0.0001,58,13,521,50,183,0.21,4.461538462,488.1369231
AUDUSD,15,0.0001,56,11,504,53,224,0.19,5.090909091,487.5054545
AUDUSD,15,0.0001,67,26,590,48,101,0.32,2.576923077,486.5230769
AUDUSD,15,0.0001,64,34,646,51,77,0.4,1.882352941,486.4
AUDUSD,15,0.0001,67,25,583,49,108,0.31,2.68,484.3564
AUDUSD,15,0.0001,41,13,548,79,207,0.28,3.153846154,483.9261538
AUDUSD,15,0.0001,73,35,610,40,66,0.38,2.085714286,483.4685714
AUDUSD,15,0.0001,80,36,588,33,57,0.37,2.222222222,483.4666667
AUDUSD,15,0.0001,57,33,666,58,80,0.42,1.727272727,483.1527273
AUDUSD,15,0.0001,77,32,590,38,73,0.34,2.40625,482.69375
AUDUSD,15,0.0001,75,28,563,37,79,0.32,2.678571429,482.5714286
AUDUSD,15,0.0001,57,11,489,52,225,0.19,5.181818182,481.4427273
AUDUSD,15,0.0001,66,16,506,45,154,0.23,4.125,480.0675
AUDUSD,15,0.0001,66,22,550,49,122,0.29,3,478.5
AUDUSD,15,0.0001,62,21,557,52,127,0.29,2.952380952,476.8980952
AUDUSD,15,0.0001,66,12,480,42,191,0.18,5.5,475.2
AUDUSD,15,0.0001,62,35,653,54,77,0.41,1.771428571,474.2645714
AUDUSD,15,0.0001,75,32,578,38,71,0.35,2.34375,474.140625
AUDUSD,15,0.0001,63,28,602,50,91,0.35,2.25,474.075
AUDUSD,15,0.0001,61,53,755,48,41,0.54,1.150943396,469.2396226
AUDUSD,15,0.0001,50,36,702,63,68,0.48,1.388888889,468
AUDUSD,15,0.0001,56,27,608,61,104,0.37,2.074074074,466.5837037
AUDUSD,15,0.0001,78,33,564,36,68,0.35,2.363636364,466.5818182
AUDUSD,15,0.0001,63,15,504,48,168,0.22,4.2,465.696
AUDUSD,15,0.0001,71,36,605,43,68,0.39,1.972222222,465.3458333
AUDUSD,15,0.0001,71,27,552,42,90,0.32,2.62962963,464.4977778
AUDUSD,15,0.0001,63,30,597,49,83,0.37,2.1,463.869
AUDUSD,15,0.0001,58,33,641,56,79,0.41,1.757575758,461.9084848
AUDUSD,15,0.0001,60,29,601,54,91,0.37,2.068965517,460.0758621
AUDUSD,15,0.0001,74,28,544,38,81,0.32,2.642857143,460.0685714
AUDUSD,15,0.0001,80,33,556,35,68,0.34,2.424242424,458.2787879
AUDUSD,15,0.0001,71,53,684,38,38,0.5,1.339622642,458.1509434
AUDUSD,15,0.0001,40,12,528,81,226,0.26,3.333333333,457.6
AUDUSD,15,0.0001,66,25,559,49,107,0.31,2.64,457.4856
AUDUSD,15,0.0001,76,11,440,33,188,0.15,6.909090909,456
AUDUSD,15,0.0001,54,26,592,62,106,0.37,2.076923077,454.9292308
AUDUSD,15,0.0001,62,23,542,54,122,0.31,2.695652174,452.9234783
AUDUSD,15,0.0001,66,20,508,48,133,0.27,3.3,452.628
AUDUSD,15,0.0001,62,11,472,47,222,0.17,5.636363636,452.2618182
AUDUSD,15,0.0001,56,14,490,54,181,0.23,4,450.8
AUDUSD,15,0.0001,64,15,480,45,160,0.22,4.266666667,450.56
AUDUSD,15,0.0001,58,14,494,51,176,0.22,4.142857143,450.2457143
AUDUSD,15,0.0001,64,20,520,50,134,0.27,3.2,449.28
AUDUSD,15,0.0001,57,55,760,50,38,0.57,1.036363636,448.9527273
AUDUSD,15,0.0001,65,21,518,49,127,0.28,3.095238095,448.9333333
AUDUSD,15,0.0001,65,31,578,48,82,0.37,2.096774194,448.416129
AUDUSD,15,0.0001,69,16,472,40,143,0.22,4.3125,447.81
AUDUSD,15,0.0001,60,36,624,53,71,0.43,1.666666667,447.2
AUDUSD,15,0.0001,60,11,454,49,226,0.18,5.454545455,445.7454545
AUDUSD,15,0.0001,51,29,618,65,93,0.41,1.75862069,445.5993103
AUDUSD,15,0.0001,78,34,554,35,64,0.35,2.294117647,444.8294118
AUDUSD,15,0.0001,38,12,520,86,229,0.27,3.166666667,444.6
AUDUSD,15,0.0001,58,36,626,53,68,0.44,1.611111111,443.7644444
AUDUSD,15,0.0001,78,12,426,31,166,0.16,6.5,443.04
AUDUSD,15,0.0001,40,36,732,84,73,0.54,1.111111111,439.2
AUDUSD,15,0.0001,67,53,680,41,39,0.51,1.264150943,438.4075472
AUDUSD,15,0.0001,61,36,616,52,71,0.42,1.694444444,438.3866667
AUDUSD,15,0.0001,57,13,476,51,187,0.21,4.384615385,438.2861538
AUDUSD,15,0.0001,62,34,600,53,79,0.4,1.823529412,437.6470588
AUDUSD,15,0.0001,53,33,633,63,82,0.43,1.606060606,437.1536364
AUDUSD,15,0.0001,75,27,507,37,84,0.31,2.777777778,436.5833333
AUDUSD,15,0.0001,75,25,500,39,97,0.29,3,435
AUDUSD,15,0.0001,49,36,665,65,70,0.48,1.361111111,434.4666667
AUDUSD,15,0.0001,79,13,420,30,150,0.17,6.076923077,433.8923077
AUDUSD,15,0.0001,65,12,443,43,196,0.18,5.416666667,431.925
AUDUSD,15,0.0001,80,29,501,32,71,0.31,2.75862069,428.4413793
AUDUSD,15,0.0001,72,12,420,35,175,0.17,6,428.4
AUDUSD,15,0.0001,70,30,540,42,80,0.34,2.333333333,428.4
AUDUSD,15,0.0001,56,26,552,60,108,0.36,2.153846154,428.0123077
AUDUSD,15,0.0001,64,30,556,49,86,0.36,2.133333333,427.008
AUDUSD,15,0.0001,61,12,442,46,197,0.19,5.083333333,426.8983333
AUDUSD,15,0.0001,62,53,688,47,42,0.53,1.169811321,426.56
AUDUSD,15,0.0001,39,12,486,82,226,0.27,3.25,426.465
AUDUSD,15,0.0001,40,37,730,83,70,0.54,1.081081081,426.1621622
AUDUSD,15,0.0001,43,12,475,73,222,0.25,3.583333333,425.5208333
AUDUSD,15,0.0001,59,27,555,57,104,0.35,2.185185185,424.4722222
AUDUSD,15,0.0001,62,31,558,52,86,0.38,2,424.08
