,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
18,AUDUSD,10,0.0001,69,17,1304,97,317,0.23,4.058823529,1217.322353,2.78
1,AUDUSD,10,0.0001,80,31,1417,77,153,0.33,2.580645161,1206.735484,5.63
5,AUDUSD,10,0.0001,69,15,1113,92,349,0.21,4.6,1075.158,2.64
0,AUDUSD,10,0.0001,69,14,1059,89,363,0.2,4.928571429,1043.871429,2.6
6,AUDUSD,10,0.0001,79,31,1154,77,159,0.33,2.548387097,970.4767742,5.3
80,AUDUSD,10,0.0001,67,17,1041,98,325,0.23,3.941176471,943.6358824,2.32
15,AUDUSD,10,0.0001,80,27,1085,76,185,0.29,2.962962963,932.2962963,4.03
77,AUDUSD,10,0.0001,70,62,1446,80,67,0.54,1.129032258,881.5935484,9.28
134,AUDUSD,10,0.0001,71,62,1393,79,68,0.54,1.14516129,861.4132258,9.82
3,AUDUSD,10,0.0001,80,30,1040,76,168,0.31,2.666666667,859.7333333,4.1
46,AUDUSD,10,0.0001,78,31,1063,80,167,0.32,2.516129032,855.8864516,3.88
9,AUDUSD,10,0.0001,78,33,1035,78,153,0.34,2.363636364,831.7636364,4.74
84,AUDUSD,10,0.0001,80,25,955,76,205,0.27,3.2,825.12,3.35
44,AUDUSD,10,0.0001,69,16,908,92,340,0.21,4.3125,822.3075,1.85
118,AUDUSD,10,0.0001,55,27,1050,132,230,0.36,2.037037037,770,2.52
111,AUDUSD,10,0.0001,80,26,878,75,197,0.28,3.076923077,756.4307692,3.68
36,AUDUSD,10,0.0001,80,28,908,74,179,0.29,2.857142857,752.3428571,3.32
16,AUDUSD,10,0.0001,77,33,935,79,156,0.34,2.333333333,741.7666667,4.4
83,AUDUSD,10,0.0001,54,27,999,135,233,0.37,2,739.26,2.97
360,AUDUSD,10,0.0001,66,17,824,98,332,0.23,3.882352941,735.7835294,2.09
47,AUDUSD,10,0.0001,68,15,811,92,363,0.2,4.533333333,735.3066667,1.6
51,AUDUSD,10,0.0001,56,27,981,126,225,0.36,2.074074074,732.48,2.88
10,AUDUSD,10,0.0001,80,29,881,73,171,0.3,2.75862069,729.1034483,3.7
38,AUDUSD,10,0.0001,67,15,801,93,362,0.2,4.466666667,715.56,1.4
4,AUDUSD,10,0.0001,68,14,774,89,377,0.19,4.857142857,714.2914286,1.58
21,AUDUSD,10,0.0001,80,33,890,73,150,0.33,2.424242424,712,4.29
258,AUDUSD,10,0.0001,78,27,846,78,194,0.29,2.888888889,708.76,3.45
116,AUDUSD,10,0.0001,54,26,944,134,242,0.36,2.076923077,705.8215385,2.8
117,AUDUSD,10,0.0001,79,27,847,76,191,0.28,2.925925926,693.9125926,2.68
24,AUDUSD,10,0.0001,80,32,864,74,158,0.32,2.5,691.2,3.84
23,AUDUSD,10,0.0001,77,36,879,75,136,0.36,2.138888889,676.83,4.68
56,AUDUSD,10,0.0001,63,63,1197,90,71,0.56,1,670.32,7.56
14,AUDUSD,10,0.0001,79,30,814,76,173,0.31,2.633333333,664.4953333,3.79
28,AUDUSD,10,0.0001,69,18,744,94,319,0.23,3.833333333,655.96,2.01
145,AUDUSD,10,0.0001,70,63,1106,77,68,0.53,1.111111111,651.3111111,7.49
140,AUDUSD,10,0.0001,77,31,813,79,170,0.32,2.483870968,646.203871,3.56
125,AUDUSD,10,0.0001,63,62,1144,90,73,0.55,1.016129032,639.3483871,6.75
54,AUDUSD,10,0.0001,65,62,1126,86,72,0.54,1.048387097,637.4612903,6.58
371,AUDUSD,10,0.0001,53,26,864,136,244,0.36,2.038461538,634.0430769,2.44
57,AUDUSD,10,0.0001,66,15,714,94,366,0.2,4.4,628.32,1.2
31,AUDUSD,10,0.0001,64,62,1104,87,72,0.55,1.032258065,626.7870968,7.3
345,AUDUSD,10,0.0001,79,25,725,75,208,0.27,3.16,618.57,3.08
