Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR
AUDUSD,5,0.0001,62,62,1488,99,75,0.57,1,848.16,8.68
AUDUSD,5,0.0001,63,63,1323,94,73,0.56,1,740.88,7.56
AUDUSD,5,0.0001,75,41,997,86,133,0.39,1.829268293,711.2743902,4.24
AUDUSD,5,0.0001,74,49,1049,89,113,0.44,1.510204082,697.0497959,5.12
AUDUSD,5,0.0001,78,61,1051,69,71,0.49,1.278688525,658.5118033,7.11
AUDUSD,5,0.0001,73,55,999,83,92,0.47,1.327272727,623.1943636,5.16
AUDUSD,5,0.0001,64,63,1097,89,73,0.55,1.015873016,612.9269841,6.85
AUDUSD,5,0.0001,77,61,982,69,71,0.49,1.262295082,607.3911475,6.62
AUDUSD,5,0.0001,63,62,1085,93,77,0.55,1.016129032,606.375,6.75
AUDUSD,5,0.0001,74,55,953,82,93,0.47,1.345454545,602.6425455,5.63
AUDUSD,5,0.0001,64,64,1088,88,71,0.55,1,598.4,6.4
AUDUSD,5,0.0001,66,63,1011,85,73,0.54,1.047619048,571.9371429,6.66
AUDUSD,5,0.0001,78,62,886,67,70,0.49,1.258064516,546.176129,6.6
AUDUSD,5,0.0001,62,61,950,96,82,0.54,1.016393443,521.4098361,5.42
AUDUSD,5,0.0001,66,64,934,83,71,0.54,1.03125,520.12125,6.2
AUDUSD,5,0.0001,78,60,822,69,76,0.48,1.3,512.928,6.24
AUDUSD,5,0.0001,77,62,819,67,70,0.49,1.241935484,498.401129,6.11
AUDUSD,5,0.0001,61,61,915,97,82,0.54,1,494.1,4.88
AUDUSD,5,0.0001,79,61,768,63,69,0.48,1.295081967,477.4190164,6.2
AUDUSD,5,0.0001,64,62,858,88,77,0.53,1.032258065,469.4090323,4.78
AUDUSD,5,0.0001,62,55,796,98,96,0.51,1.127272727,457.6276364,4.67
AUDUSD,5,0.0001,73,49,692,86,114,0.43,1.489795918,443.3036735,3.46
AUDUSD,5,0.0001,72,49,675,89,117,0.43,1.469387755,426.4897959,3.03
AUDUSD,5,0.0001,80,31,544,75,176,0.3,2.580645161,421.1612903,2.3
AUDUSD,5,0.0001,72,55,679,82,95,0.46,1.309090909,408.8814545,3.42
AUDUSD,5,0.0001,65,63,737,85,76,0.53,1.031746032,403.0103175,4.84
AUDUSD,5,0.0001,73,56,671,79,91,0.46,1.303571429,402.3603571,3.34
AUDUSD,5,0.0001,73,54,656,80,96,0.45,1.351851852,399.0666667,3.15
AUDUSD,5,0.0001,80,61,610,61,70,0.47,1.31147541,376,5.27
AUDUSD,5,0.0001,74,54,608,79,97,0.45,1.37037037,374.9333333,3.6
AUDUSD,5,0.0001,77,60,616,68,77,0.47,1.283333333,371.5506667,4.39
AUDUSD,5,0.0001,64,61,627,87,81,0.52,1.049180328,342.0747541,4
AUDUSD,5,0.0001,78,32,452,78,176,0.31,2.4375,341.5425,2.1
AUDUSD,5,0.0001,68,62,598,79,77,0.51,1.096774194,334.4941935,4.3
AUDUSD,5,0.0001,76,61,532,68,76,0.47,1.245901639,311.5252459,3.39
AUDUSD,5,0.0001,72,63,540,74,76,0.49,1.142857143,302.4,3.15
AUDUSD,5,0.0001,80,32,400,73,170,0.3,2.5,300,1.6
AUDUSD,5,0.0001,49,45,535,145,146,0.5,1.088888889,291.2777778,2
AUDUSD,5,0.0001,79,62,479,61,70,0.47,1.274193548,286.8591935,4.27
AUDUSD,5,0.0001,72,54,468,80,98,0.45,1.333333333,280.8,2.7
AUDUSD,5,0.0001,65,64,530,82,75,0.52,1.015625,279.90625,3.08
AUDUSD,5,0.0001,78,31,365,79,187,0.3,2.516129032,275.516129,1.7
AUDUSD,5,0.0001,75,30,345,85,201,0.3,2.5,258.75,1.5
AUDUSD,5,0.0001,73,63,448,70,74,0.49,1.158730159,254.3644444,3.64
AUDUSD,5,0.0001,79,56,408,64,83,0.44,1.410714286,253.2514286,3.4
AUDUSD,5,0.0001,75,60,420,68,78,0.47,1.25,246.75,3.45
AUDUSD,5,0.0001,76,60,412,67,78,0.46,1.266666667,240.0586667,2.56
AUDUSD,5,0.0001,74,60,408,72,82,0.47,1.233333333,236.504,2.98
AUDUSD,5,0.0001,79,60,398,62,75,0.45,1.316666667,235.815,2.55
AUDUSD,5,0.0001,74,62,406,70,77,0.48,1.193548387,232.5987097,3.28
AUDUSD,5,0.0001,77,32,310,78,178,0.3,2.40625,223.78125,0.7
AUDUSD,5,0.0001,80,56,336,63,84,0.43,1.428571429,206.4,2.48
AUDUSD,5,0.0001,80,62,336,60,72,0.45,1.290322581,195.0967742,1.9
AUDUSD,5,0.0001,76,32,264,78,177,0.31,2.375,194.37,1.48
AUDUSD,5,0.0001,66,62,320,80,80,0.5,1.064516129,170.3225806,2
AUDUSD,5,0.0001,79,31,221,75,184,0.29,2.548387097,163.326129,0.9
AUDUSD,5,0.0001,76,55,239,69,91,0.43,1.381818182,142.0094545,1.33
AUDUSD,5,0.0001,80,60,240,60,76,0.44,1.333333333,140.8,1.6
AUDUSD,5,0.0001,73,30,188,86,203,0.3,2.433333333,137.24,0.9
AUDUSD,5,0.0001,76,31,176,79,188,0.3,2.451612903,129.4451613,1.1
AUDUSD,5,0.0001,72,62,224,72,80,0.47,1.161290323,122.2606452,0.98
AUDUSD,5,0.0002,80,13,1454,90,442,0.17,6.153846154,1521.107692,2.81
AUDUSD,5,0.0002,66,24,1344,116,263,0.31,2.75,1145.76,3.9
AUDUSD,5,0.0002,65,24,1334,118,264,0.31,2.708333333,1120.004167,3.59
AUDUSD,5,0.0002,57,35,1356,138,186,0.43,1.628571429,949.5874286,4.56
AUDUSD,5,0.0002,57,26,1235,143,266,0.35,2.192307692,947.625,3.05
AUDUSD,5,0.0002,57,23,1182,143,303,0.32,2.47826087,937.3773913,2.6
AUDUSD,5,0.0002,57,25,1155,140,273,0.34,2.28,895.356,2.88
AUDUSD,5,0.0002,56,34,1276,143,198,0.42,1.647058824,882.6917647,3.8
AUDUSD,5,0.0002,62,35,1229,122,181,0.4,1.771428571,870.8342857,3.8
AUDUSD,5,0.0002,63,23,1050,124,294,0.3,2.739130435,862.826087,2.8
AUDUSD,5,0.0002,57,36,1236,136,181,0.43,1.583333333,841.51,3.99
AUDUSD,5,0.0002,60,23,1024,129,292,0.31,2.608695652,828.1043478,2.73
AUDUSD,5,0.0002,64,24,1032,120,277,0.3,2.666666667,825.6,2.4
AUDUSD,5,0.0002,63,24,1014,122,278,0.3,2.625,798.525,2.1
AUDUSD,5,0.0002,56,35,1183,143,195,0.42,1.6,794.976,3.22
AUDUSD,5,0.0002,61,23,977,128,297,0.3,2.652173913,777.3521739,2.2
AUDUSD,5,0.0002,56,22,970,145,325,0.31,2.545454545,765.4181818,2.18
AUDUSD,5,0.0002,59,23,957,132,297,0.31,2.565217391,761.0230435,2.42
AUDUSD,5,0.0002,59,26,976,132,262,0.34,2.269230769,753.0215385,2.9
