,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score
4,AUDUSD,20,0.0001,67,25,1274,97,209,0.32,2.68,1092.5824,4.44,20,0.0001,67,25,1059,52,97,0.35,2.68,993.342
133,AUDUSD,20,0.0001,76,27,1127,77,175,0.31,2.814814815,983.4118519,4.93,20,0.0001,76,27,652,37,80,0.32,2.814814815,587.282963
7,AUDUSD,20,0.0001,66,27,1179,96,191,0.33,2.444444444,951.06,3.69,20,0.0001,66,27,978,50,86,0.37,2.444444444,884.5466667
303,AUDUSD,20,0.0001,80,25,1000,70,184,0.28,3.2,896,4.4,20,0.0001,80,25,490,33,86,0.28,3.2,439.04
449,AUDUSD,20,0.0001,78,27,1023,73,173,0.3,2.888888889,886.6,4.5,20,0.0001,78,27,414,33,80,0.29,2.888888889,346.84
63,AUDUSD,20,0.0001,56,27,1154,118,202,0.37,2.074074074,885.5881481,3.71,20,0.0001,56,27,851,61,95,0.39,2.074074074,688.3644444
111,AUDUSD,20,0.0001,76,26,1042,77,185,0.29,2.923076923,883.2953846,3.58,20,0.0001,76,26,678,38,85,0.31,2.923076923,614.3723077
17,AUDUSD,20,0.0001,66,25,1061,96,211,0.31,2.64,868.3224,3.21,20,0.0001,66,25,916,51,98,0.34,2.64,822.2016
6,AUDUSD,20,0.0001,60,27,1113,109,201,0.35,2.222222222,865.6666667,3.45,20,0.0001,60,27,1023,58,91,0.39,2.222222222,886.6
360,AUDUSD,20,0.0001,77,25,998,74,188,0.28,3.08,860.6752,3.56,20,0.0001,77,25,470,35,89,0.28,3.08,405.328
77,AUDUSD,20,0.0001,67,27,1047,93,192,0.33,2.481481481,857.3766667,4.02,20,0.0001,67,27,773,47,88,0.35,2.481481481,671.3648148
378,AUDUSD,20,0.0001,77,27,1000,74,174,0.3,2.851851852,855.5555556,4.2,20,0.0001,77,27,458,34,80,0.3,2.851851852,391.8444444
228,AUDUSD,20,0.0001,76,25,1001,76,191,0.28,3.04,852.0512,3.28,20,0.0001,76,25,562,37,90,0.29,3.04,495.4592
18,AUDUSD,20,0.0001,67,26,1009,95,206,0.32,2.576923077,832.0369231,3.76,20,0.0001,67,26,906,50,94,0.35,2.576923077,817.1423077
65,AUDUSD,20,0.0001,72,33,1047,81,145,0.36,2.181818182,822.3709091,4.8,20,0.0001,72,33,807,41,65,0.39,2.181818182,686.6836364
53,AUDUSD,20,0.0001,54,26,1078,123,214,0.36,2.076923077,806.0123077,2.8,20,0.0001,54,26,880,63,97,0.39,2.076923077,712.8
59,AUDUSD,20,0.0001,65,27,1002,96,194,0.33,2.407407407,796.0333333,3.36,20,0.0001,65,27,809,49,88,0.36,2.407407407,701.1333333
47,AUDUSD,20,0.0001,57,27,1047,115,204,0.36,2.111111111,795.72,3.24,20,0.0001,57,27,882,60,94,0.39,2.111111111,726.18
448,AUDUSD,20,0.0001,74,27,966,78,178,0.3,2.740740741,794.2666667,3.3,20,0.0001,74,27,423,36,83,0.3,2.740740741,347.8
284,AUDUSD,20,0.0001,80,26,920,70,180,0.28,3.076923077,792.6153846,3.68,20,0.0001,80,26,508,33,82,0.29,3.076923077,453.2923077
338,AUDUSD,20,0.0001,77,26,914,74,184,0.29,2.961538462,784.9853846,3.87,20,0.0001,77,26,485,35,85,0.29,2.961538462,416.5403846
452,AUDUSD,20,0.0001,80,27,903,69,171,0.29,2.962962963,775.9111111,4.03,20,0.0001,80,27,401,31,77,0.29,2.962962963,344.562963
119,AUDUSD,20,0.0001,56,21,938,112,254,0.31,2.666666667,775.4133333,2.87,20,0.0001,56,21,707,58,121,0.32,2.666666667,603.3066667
