,Pair,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,RV,AR,TP,SL,Total Pips,Win Trade,Lose Trade,Win Rate,R/R,Score,ATTR,s,a
21,AUDUSD,25,0.0001,65,65,1365,79,58,0.58,1,791.7,10.4,25,0.0001,65,65,975,42,27,0.61,1,594.75,14.3,390,1386.45
83,AUDUSD,25,0.0001,66,65,1181,76,59,0.56,1.015384615,671.5347692,8.36,25,0.0001,66,65,754,39,28,0.58,1.015384615,444.048,10.98,427,1115.582769
158,AUDUSD,25,0.0001,69,65,1064,71,59,0.55,1.061538462,621.2123077,8.7,25,0.0001,69,65,595,35,28,0.56,1.061538462,353.7046154,10.04,469,974.9169231
303,AUDUSD,25,0.0001,76,65,1105,65,59,0.52,1.169230769,671.84,8.32,25,0.0001,76,65,406,31,30,0.51,1.169230769,242.1009231,6.91,699,913.9409231
185,AUDUSD,25,0.0001,69,66,1005,71,59,0.55,1.045454545,577.875,8.25,25,0.0001,69,66,567,35,28,0.56,1.045454545,331.9527273,9.6,438,909.8277273
177,AUDUSD,25,0.0001,66,66,990,75,60,0.56,1,554.4,7.92,25,0.0001,66,66,594,38,29,0.57,1,338.58,9.24,396,892.98
200,AUDUSD,25,0.0001,69,67,1015,72,59,0.55,1.029850746,574.9141791,7.8,25,0.0001,69,67,539,35,28,0.56,1.029850746,310.8501493,9.16,476,885.7643284
113,AUDUSD,25,0.0001,80,53,721,64,83,0.44,1.509433962,478.8528302,5.52,25,0.0001,80,53,573,33,39,0.46,1.509433962,397.8566038,8.18,148,876.709434
342,AUDUSD,25,0.0001,76,66,1046,65,59,0.52,1.151515152,626.3321212,7.84,25,0.0001,76,66,376,31,30,0.51,1.151515152,220.8145455,6.42,670,847.1466667
379,AUDUSD,25,0.0001,76,67,1063,66,59,0.53,1.134328358,639.0692537,8.79,25,0.0001,76,67,346,31,30,0.51,1.134328358,200.1635821,5.93,717,839.2328358
152,AUDUSD,25,0.0001,78,53,721,67,85,0.44,1.471698113,466.8815094,4.64,25,0.0001,78,53,532,34,40,0.46,1.471698113,360.1539623,7.26,189,827.0354717
137,AUDUSD,25,0.0001,79,53,657,64,83,0.44,1.490566038,430.8928302,5.08,25,0.0001,79,53,540,33,39,0.46,1.490566038,370.2566038,7.72,117,801.149434
412,AUDUSD,25,0.0001,73,65,999,68,61,0.53,1.123076923,594.6355385,8.14,25,0.0001,73,65,321,32,31,0.51,1.123076923,183.8589231,5.38,678,778.4944616
302,AUDUSD,25,0.0001,70,65,930,69,60,0.53,1.076923077,530.8153846,6.55,25,0.0001,70,65,425,33,29,0.53,1.076923077,242.5769231,6.55,505,773.3923077
382,AUDUSD,25,0.0001,68,65,993,71,59,0.55,1.046153846,571.3569231,8.15,25,0.0001,68,65,359,33,29,0.53,1.046153846,199.0516923,5.49,634,770.4086154
337,AUDUSD,25,0.0001,71,65,934,69,61,0.53,1.092307692,540.7141538,7.08,25,0.0001,71,65,393,33,30,0.52,1.092307692,223.224,5.72,541,763.9381538
343,AUDUSD,25,0.0001,75,65,900,64,60,0.52,1.153846154,540,7.8,25,0.0001,75,65,375,31,30,0.51,1.153846154,220.6730769,6.4,525,760.6730769
146,AUDUSD,25,0.0001,76,53,610,68,86,0.44,1.433962264,384.8754717,3.76,25,0.0001,76,53,540,35,40,0.47,1.433962264,363.9396226,7.63,70,748.8150943
435,AUDUSD,25,0.0001,77,65,951,63,60,0.51,1.184615385,574.5503077,7.42,25,0.0001,77,65,295,30,31,0.49,1.184615385,171.2361538,4.58,656,745.7864615
381,AUDUSD,25,0.0001,74,65,910,65,60,0.52,1.138461538,538.72,7.28,25,0.0001,74,65,344,31,30,0.51,1.138461538,199.7316923,5.89,566,738.4516923
